time_window,subject_l1,subject_l2,weighted_article_count,article_count,author_count,first_year,last_year,share
1858-1867,Geography and Travel,Travel,12.5,13,12,1858,1867,0.1488095238095238
1858-1867,Natural Sciences,Meteorology,9.25,10,8,1858,1864,0.1101190476190476
1858-1867,Natural Sciences,Geology,6.0,8,7,1860,1867,0.0714285714285714
1858-1867,History and Chronology,"History, Modern (20th century)",6.0,6,5,1859,1867,0.0714285714285714
1858-1867,Natural Sciences,Zoology,5.5,6,4,1859,1867,0.0654761904761904
1858-1867,Natural Sciences,Hydrology,5.25,6,6,1859,1867,0.0625
1858-1867,Literature and Language,Language and languages,4.333333333333333,5,5,1859,1867,0.0515873015873015
1858-1867,Anthropology and Social Customs,Manners and customs,2.5,3,3,1864,1866,0.0297619047619047
1858-1867,Religion and Philosophy,Christianity,2.333333333333333,3,3,1865,1867,0.0277777777777777
1858-1867,Natural Sciences,Astronomy,2.0,2,1,1866,1867,0.0238095238095238
1858-1867,"Politics, Government, and Law",Law,2.0,2,2,1859,1864,0.0238095238095238
1858-1867,Religion and Philosophy,Philosophy,2.0,2,2,1859,1860,0.0238095238095238
1858-1867,Religion and Philosophy,Buddhism,1.5,2,2,1858,1864,0.0178571428571428
1858-1867,Education,Education,1.5,2,2,1859,1866,0.0178571428571428
1858-1867,History and Chronology,History,1.5,2,1,1866,1866,0.0178571428571428
1858-1867,Anthropology and Social Customs,Mythology,1.5,2,2,1859,1867,0.0178571428571428
1858-1867,Natural Sciences,Agriculture,1.499999999999999,5,4,1859,1867,0.0178571428571428
1858-1867,"Economy, Trade, and Technology",Commerce,1.499999999999999,5,4,1859,1867,0.0178571428571428
1858-1867,"Economy, Trade, and Technology",Industries,1.499999999999999,5,4,1859,1867,0.0178571428571428
1858-1867,Natural Sciences,Botany,1.25,2,2,1860,1865,0.0148809523809523
1858-1867,Anthropology and Social Customs,Anthropology,1.0,2,2,1858,1859,0.0119047619047619
1858-1867,Anthropology and Social Customs,Ethnology,1.0,2,2,1858,1859,0.0119047619047619
1858-1867,Arts and Archaeology,Archaeology,1.0,1,1,1865,1865,0.0119047619047619
1858-1867,Natural Sciences,Chemistry,1.0,1,1,1864,1864,0.0119047619047619
1858-1867,History and Chronology,"Chronology, Historical",1.0,1,1,1867,1867,0.0119047619047619
1858-1867,Religion and Philosophy,Confucianism,1.0,1,1,1860,1860,0.0119047619047619
1858-1867,Inscriptions and Miscellaneous,Inscriptions,1.0,1,1,1864,1864,0.0119047619047619
1858-1867,Religion and Philosophy,Judaism,1.0,1,1,1864,1864,0.0119047619047619
1858-1867,Natural Sciences,Medicine,1.0,1,1,1864,1864,0.0119047619047619
1858-1867,Arts and Archaeology,Music,1.0,1,1,1859,1859,0.0119047619047619
1858-1867,Arts and Archaeology,Numismatics,1.0,1,1,1858,1858,0.0119047619047619
1858-1867,Literature and Language,Literature,0.833333333333333,2,1,1866,1867,0.0099206349206349
1858-1867,Arts and Archaeology,Architecture,0.5,1,1,1866,1866,0.0059523809523809
1858-1867,"Economy, Trade, and Technology",Telecommunication,0.25,1,1,1867,1867,0.0029761904761904
1868-1877,History and Chronology,"History, Modern (20th century)",8.0,8,5,1868,1876,0.123076923076923
1868-1877,Literature and Language,Language and languages,5.583333333333333,7,6,1871,1877,0.0858974358974359
1868-1877,Geography and Travel,Travel,5.0,6,6,1868,1876,0.0769230769230769
1868-1877,History and Chronology,History,4.25,6,6,1869,1877,0.0653846153846153
1868-1877,Natural Sciences,Geology,3.083333333333333,5,4,1868,1877,0.0474358974358974
1868-1877,Natural Sciences,Meteorology,3.0,4,3,1871,1877,0.0461538461538461
1868-1877,Anthropology and Social Customs,Manners and customs,3.0,3,3,1869,1877,0.0461538461538461
1868-1877,Arts and Archaeology,Music,2.333333333333333,3,3,1868,1874,0.0358974358974358
1868-1877,Anthropology and Social Customs,Anthropology,2.25,6,5,1869,1877,0.0346153846153846
1868-1877,Anthropology and Social Customs,Ethnology,2.25,6,5,1869,1877,0.0346153846153846
1868-1877,Natural Sciences,Zoology,2.083333333333333,4,4,1868,1877,0.032051282051282
1868-1877,Arts and Archaeology,Archaeology,2.0,2,2,1871,1874,0.0307692307692307
1868-1877,History and Chronology,Biography,2.0,2,2,1868,1874,0.0307692307692307
1868-1877,"Economy, Trade, and Technology",Economics,2.0,2,1,1868,1869,0.0307692307692307
1868-1877,Inscriptions and Miscellaneous,Inscriptions,2.0,2,2,1868,1869,0.0307692307692307
1868-1877,Natural Sciences,Medicine,2.0,2,1,1871,1875,0.0307692307692307
1868-1877,Religion and Philosophy,Religion,2.0,2,2,1869,1875,0.0307692307692307
1868-1877,Geography and Travel,Geography,1.583333333333333,3,3,1869,1876,0.0243589743589743
1868-1877,Religion and Philosophy,Buddhism,1.333333333333333,2,2,1869,1875,0.0205128205128205
1868-1877,Natural Sciences,Hydrology,1.333333333333333,2,2,1868,1869,0.0205128205128205
1868-1877,Education,Education,1.0,1,1,1869,1869,0.0153846153846153
1868-1877,Military,Military art and science,1.0,1,1,1869,1869,0.0153846153846153
1868-1877,Inscriptions and Miscellaneous,Miscellaneous,1.0,1,1,1871,1871,0.0153846153846153
1868-1877,Anthropology and Social Customs,Mythology,1.0,1,1,1874,1874,0.0153846153846153
1868-1877,Natural Sciences,Agriculture,0.583333333333333,2,1,1869,1876,0.0089743589743589
1868-1877,"Economy, Trade, and Technology",Commerce,0.583333333333333,2,1,1869,1876,0.0089743589743589
1868-1877,"Economy, Trade, and Technology",Industries,0.583333333333333,2,1,1869,1876,0.0089743589743589
1868-1877,Literature and Language,Literature,0.583333333333333,2,2,1871,1871,0.0089743589743589
1868-1877,Religion and Philosophy,Confucianism,0.5,1,1,1874,1874,0.0076923076923076
1868-1877,Geography and Travel,Navigation,0.5,1,1,1877,1877,0.0076923076923076
1868-1877,Natural Sciences,Botany,0.333333333333333,1,1,1871,1871,0.0051282051282051
1868-1877,Natural Sciences,Chemistry,0.25,1,1,1869,1869,0.0038461538461538
1878-1887,Literature and Language,Language and languages,17.666666666666664,19,12,1878,1887,0.2128514056224899
1878-1887,Geography and Travel,Travel,8.666666666666666,10,7,1882,1886,0.1044176706827309
1878-1887,Geography and Travel,Geography,5.999999999999999,8,5,1884,1886,0.072289156626506
1878-1887,Natural Sciences,Geology,5.333333333333333,6,4,1881,1887,0.0642570281124498
1878-1887,Anthropology and Social Customs,Manners and customs,4.5,5,3,1878,1885,0.0542168674698795
1878-1887,Natural Sciences,Meteorology,4.0,4,4,1878,1881,0.0481927710843373
1878-1887,History and Chronology,History,3.5,4,3,1879,1886,0.0421686746987951
1878-1887,Natural Sciences,Botany,3.333333333333333,4,3,1880,1887,0.0401606425702811
1878-1887,Arts and Archaeology,Numismatics,3.0,3,3,1879,1882,0.036144578313253
1878-1887,History and Chronology,"Chronology, Historical",2.0,2,2,1886,1887,0.0240963855421686
1878-1887,"Economy, Trade, and Technology",Economics,1.9999999999999991,4,3,1882,1887,0.0240963855421686
1878-1887,"Politics, Government, and Law",Law,1.5,2,1,1879,1887,0.0180722891566265
1878-1887,Religion and Philosophy,Religion,1.333333333333333,2,2,1878,1886,0.0160642570281124
1878-1887,Natural Sciences,Zoology,1.333333333333333,2,2,1879,1884,0.0160642570281124
1878-1887,Natural Sciences,Agriculture,1.249999999999999,4,3,1883,1887,0.0150602409638554
1878-1887,"Economy, Trade, and Technology",Commerce,1.249999999999999,4,3,1883,1887,0.0150602409638554
1878-1887,"Economy, Trade, and Technology",Industries,1.249999999999999,4,3,1883,1887,0.0150602409638554
1878-1887,Literature and Language,Literature,1.166666666666666,3,2,1878,1887,0.0140562248995983
1878-1887,Natural Sciences,Astronomy,1.0,1,1,1878,1878,0.0120481927710843
1878-1887,History and Chronology,Biography,1.0,1,1,1879,1879,0.0120481927710843
1878-1887,Religion and Philosophy,Buddhism,1.0,1,1,1884,1884,0.0120481927710843
1878-1887,Religion and Philosophy,Confucianism,1.0,1,1,1886,1886,0.0120481927710843
1878-1887,Natural Sciences,Hydrology,1.0,1,1,1881,1881,0.0120481927710843
1878-1887,Inscriptions and Miscellaneous,Inscriptions,1.0,1,1,1879,1879,0.0120481927710843
1878-1887,Military,Military art and science,1.0,1,1,1887,1887,0.0120481927710843
1878-1887,Anthropology and Social Customs,Mythology,1.0,1,0,1886,1886,0.0120481927710843
1878-1887,Religion and Philosophy,Philosophy,1.0,1,1,1880,1880,0.0120481927710843
1878-1887,"Economy, Trade, and Technology",Telecommunication,1.0,1,1,1884,1884,0.0120481927710843
